"sceneCondition","probabilityKey","pink_prob","blue_prob","yellow_prob","expCondition","counterbalance_groups.group","counterbalance_groups.remaining","expCond_assignment.started","expCond_assignment.stopped","participant","session","date","expName","psychopyVersion","OS","frameRate","instructions.started","instructions.stopped","instrNavMouse.x","instrNavMouse.y","instrNavMouse.leftButton","instrNavMouse.midButton","instrNavMouse.rightButton","instrNavMouse.time","instrNavMouse.clicked_name","instrLoop.thisRepN","instrLoop.thisTrialN","instrLoop.thisN","instrLoop.thisIndex","instrLoop.ran","instrPage","expSettings.started","expSettings.stopped","comprehension.started","comp_q","comp_answer","comp_correct","comprehension.stopped","compq_attempts","comp_first_correct","comp_total_attempts","prePractice.started","prePractice.stopped","prePracKey.keys","prePracMouse.x","prePracMouse.y","prePracMouse.leftButton","prePracMouse.midButton","prePracMouse.rightButton","prePracMouse.time","globalTrial","blockIndex","boxType","outcomeType","rewardAmount","scene_image","prac_trials.started","prac_trials.stopped","rewardType","displayBox.started","displayBox.stopped","ITI.started","ITI.stopped","hitTask.started","hitTask.stopped","press_count","firstPressTime","hitTask_duration","task_complete","rewardStatus","missedStatus","hit_key.keys","rewardProb","trialEarnings","outcome","total_earnings","rewardOutcome.started","rewardOutcome.stopped","prac_percReport.started","prac_percReport.stopped","grey_slider.response","grey_slider.rt","perc_submit_key_2.keys","prac_hits","prac_misses","prac_failCount","prac_successCount","prac_success","prac_needsRestart","prac_mode","prac_globalTrialIndex","blockSettings.started","blockSettings.stopped","blockMouse.x","blockMouse.y","blockMouse.leftButton","blockMouse.midButton","blockMouse.rightButton","blockMouse.time","prac_loop.thisRepN","prac_loop.thisTrialN","prac_loop.thisN","prac_loop.thisIndex","prac_loop.ran","timing.started","timing.stopped","pre_exp_setup.started","pre_exp_setup.stopped","preExp_screen.started","preExp_screen.stopped","preblock_mouse.x","preblock_mouse.y","preblock_mouse.leftButton","preblock_mouse.midButton","preblock_mouse.rightButton","preblock_mouse.time","preblock_screen.started","preblock_screen.stopped","preblock_mouse_2.x","preblock_mouse_2.y","preblock_mouse_2.leftButton","preblock_mouse_2.midButton","preblock_mouse_2.rightButton","preblock_mouse_2.time","trialSettings.started","trialSettings.stopped","attentionCheck.started","attentionCheck.stopped","percReport.started","percReport.stopped","rating_pink","rating_blue","rating_yellow","pink_slider.response","pink_slider.rt","yellow_slider.response","yellow_slider.rt","blue_slider.response","blue_slider.rt","perc_submit_key.keys","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","hit_key.rt","hit_key.duration","attn_trial","attn_key","attn_passed","attn_rt","attn_wrong_keys","avg_report_accuracy","n_reports","total_earnings_final","final_score","display_code","raw_bonus_pay","final_bonus_pay","bonus_str","endExperiment.started","endExperiment.stopped","finish_mouse.x","finish_mouse.y","finish_mouse.leftButton","finish_mouse.midButton","finish_mouse.rightButton","finish_mouse.time","no_attempt","total_press_required_this_trial","active_press_threshold","n_press_timestamps","n_ikis","mean_iki","median_iki","sd_iki","cv_iki","min_iki","max_iki","estimated_capacity_iki","calib_round","calib_trial_in_round","prac_globalTrialIndex_at_hitTask_end","calib_reached60","calib_time_to_comp","calib_estimated_capacity","main_task_fraction","max_completed_target","main_ceiling","calibration_method","calibration_fraction","calibration_floor","calib_rounds_attempted","calib_n_success_accepted","calib_best_trial","calib_all_trials_accepted_round","calibration_capacity","calib_press_rate_per_second","press_threshold","best_trial_estimated_capacity_iki","best_trial_mean_iki","constraint_fallback_used","composition_valid","calib_time_to_60","calib_trials_used","calib_top3_estimated_capacity_iki","calib_top3_mean_iki","prac_loop.order","prePracKey.rt","prePracKey.duration","trials.order","prolific_pid"
"OLD","D","1","0.3","0.7","reward","1",NA,"0.466","0.466","209443","001","2026-06-28_04h15.01.273","memHitTask","2024.2.4","Win32","60.0240096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5ba292385301b80001c71ba2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"209443","001","2026-06-28_04h15.01.273","memHitTask","2024.2.4","Win32","60.0240096","0.483","203.743","[0.3870370652940538,0.3870370652940538,0.3870370652940538,0.3870370652940538,0.4129629347059462,0.4129629347059462,0.4129629347059462,0.4009259541829427,0.4009259541829427,0.4009259541829427,0.4009259541829427,0.4009259541829427,0.4009259541829427,0.4009259541829427]","[-0.4101851569281684,-0.4101851569281684,-0.4101851569281684,-0.4101851569281684,-0.39351849026150176,-0.39351849026150176,-0.39351849026150176,-0.3861111111111111,-0.3861111111111111,-0.3861111111111111,-0.3861111111111111,-0.3861111111111111,-0.3861111111111111,-0.3861111111111111]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[3.9280000000000044,16.082,22.745000000000005,48.900999999999996,72.425,85.028,89.955,157.85899999999998,167.397,174.36900000000003,187.32999999999998,193.24400000000003,196.94600000000003,203.26]","[null,null,null,null,""instrNextArrow"",""instrNextArrow"",""instrNextArrow"",""instrNextArrow"",""instrNextArrow"",""instrNextArrow"",""instrNextArrow"",""instrNextArrow"",""instrNextArrow"",""instrNextArrow""]","0","0","0","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5ba292385301b80001c71ba2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"209443","001","2026-06-28_04h15.01.273","memHitTask","2024.2.4","Win32","60.0240096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"203.744","203.744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5ba292385301b80001c71ba2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"209443","001","2026-06-28_04h15.01.273","memHitTask","2024.2.4","Win32","60.0240096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"203.747","6","b","TRUE","308.534","[2,1,1,1,1,1,1]","[false,true,true,true,true,true,true]","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5ba292385301b80001c71ba2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"209443","001","2026-06-28_04h15.01.273","memHitTask","2024.2.4","Win32","60.0240096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"308.534","323.184",NA,"[0.3898148430718316]","[-0.3981481764051649]","[1]","[0]","[0]","[14.650000000000034]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5ba292385301b80001c71ba2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"209443","001","2026-06-28_04h15.01.273","memHitTask","2024.2.4","Win32","60.0240096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","NAN","grey","real","3","resources/Scenes_PRAC/Hobbiton_NZ.jpg","323.196","323.196","L","323.197","325.189","341.138","342.138","326.19","338.143","54","2.416","11.951","FALSE","0","1",NA,"0","0","MISSED","0","338.148","341.138","342.147","342.163",NA,NA,NA,"0","1","0","0","FALSE","FALSE","TRUE","1","342.164","346.594","[0.21759262084960937]","[-0.4259259541829427]","[1]","[0]","[0]","[4.426999999999964]","0","0","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5ba292385301b80001c71ba2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"209443","001","2026-06-28_04h15.01.273","memHitTask","2024.2.4","Win32","60.0240096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","NAN","grey","real","28","resources/Scenes_PRAC/Davao-Phillipines.jpg","346.595","346.595","H","346.596","348.586","364.555","365.555","349.59","361.552","58","2.017","11.965","FALSE","0","1",NA,"0","0","MISSED","0","361.555","364.553","365.563","365.57",NA,NA,NA,"0","2","1","0","FALSE","TRUE","TRUE","2","365.575","367.744","[0.21759262084960937]","[-0.4259259541829427]","[1]","[0]","[0]","[2.165999999999997]","1","0","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5ba292385301b80001c71ba2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"209443","001","2026-06-28_04h15.01.273","memHitTask","2024.2.4","Win32","60.0240096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","NAN","grey","fake","3","resources/Scenes_PRAC/Rockefeller_Rink.jpg","367.746","367.746","L","367.747","369.735","384.284","385.284","370.737","381.284","60","0.766","10.549","TRUE","1","0",NA,"0","0","FAKE","0","381.292","384.284","385.285","385.293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"385.293","385.295","[]","[]","[]","[]","[]","[]","2","0","2","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5ba292385301b80001c71ba2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"209443","001","2026-06-28_04h15.01.273","memHitTask","2024.2.4","Win32","60.0240096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","NAN","grey","fake","28","resources/Scenes_PRAC/CN_Tower.jpg","385.296","385.296","H","385.297","387.3","401.349","402.356","388.302","398.349","60","0.599","10.049","TRUE","1","0",NA,"0","0","FAKE","0","398.357","401.348","402.357","402.362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402.362","402.362","[]","[]","[]","[]","[]","[]","3","0","3","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5ba292385301b80001c71ba2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"209443","001","2026-06-28_04h15.01.273","memHitTask","2024.2.4","Win32","60.0240096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","NAN","grey","real","5","resources/Scenes_PRAC/Circus_Tent.jpg","402.364","402.364","L","402.364","404.37","418.28","419.281","405.369","415.281","60","0.399","9.916","TRUE","1","0",NA,"0","5","REAL","5","415.29","418.28","419.283","419.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"419.29","419.29","[]","[]","[]","[]","[]","[]","4","0","4","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5ba292385301b80001c71ba2"
